,0
0,6.9843564
1,7.1164756
2,7.2300014
3,7.3270187
4,7.4299865
5,7.5361924
6,7.6391096
7,7.731861
8,7.8165326
9,7.8645854
10,7.896337
11,7.908408
12,7.9113007
13,7.9272428
14,7.9553094
15,8.012785
16,8.102837
17,8.199615
18,8.316192
19,8.42596
20,8.54072
21,8.650132
22,8.7617855
23,8.856363
24,8.948582
25,9.055958
26,9.168526
27,9.280712
28,9.386758
29,9.471643
30,9.5448475
31,9.603872
32,9.660959
33,9.693689
34,9.735057
35,9.781451
36,9.81352
37,9.823933
38,9.830019
39,9.824056
40,9.804242
41,9.763541
42,9.708591
43,9.632182
44,9.545507
45,9.459781
46,9.362147
47,9.265496
48,9.160836
49,9.059559
50,8.968723
51,8.896455
52,8.834901
53,8.78819
54,8.779513
55,8.788477
56,8.795124
57,8.794862
58,8.779131
59,8.761288
60,8.742158
61,8.738444
62,8.752673
63,8.790243
64,8.835113
65,8.894921
66,8.947763
67,8.978269
68,9.007951
69,9.046152
70,9.085649
71,9.138604
72,9.200065
73,9.244871
74,9.284935
75,9.32241
76,9.366565
77,9.431458
78,9.517494
79,9.613655
80,9.72373
81,9.842176
82,9.980542
83,10.134954
84,10.295971
85,10.456953
86,10.615611
87,10.77044
88,10.912198
89,11.02777
90,11.120019
91,11.208731
92,11.27
93,11.315431
94,11.367494
95,11.425408
96,11.472519
97,11.520293
98,11.565557
99,11.596478
100,11.636013
101,11.675853
102,11.725455
103,11.785801
104,11.86046
105,11.94599
106,12.032593
107,12.101762
108,12.16873
109,12.222224
110,12.269819
111,12.312446
112,12.361467
113,12.420374
114,12.475206
115,12.530989
116,12.605248
117,12.697662
118,12.803923
119,12.923991
120,13.024144
121,13.123953
122,13.186891
123,13.227884
124,13.266772
125,13.290223
126,13.299178
127,13.314013
128,13.337248
129,13.376902
130,13.414858
131,13.440666
132,13.448146
133,13.469037
134,13.482573
135,13.496152
136,13.523088
137,13.559231
138,13.619732
139,13.711798
140,13.826623
141,13.968875
142,14.112112
143,14.264559
144,14.434952
145,14.633121
146,14.860233
147,15.106956
148,15.363438
149,15.623556
150,15.885873
151,16.13346
152,16.366821
153,16.582458
154,16.779129
155,16.942589
156,17.050072
157,17.092512
158,17.086555
159,17.091637
160,17.095818
161,17.085598
162,17.026234
163,16.885473
164,16.697168
165,16.509571
166,16.311495
167,16.121614
168,15.980496
169,15.887194
170,15.825315
171,15.776962
172,15.729814
173,15.691241
174,15.631279
175,15.607725
176,15.587472
177,15.584661
178,15.587006
179,15.610273
180,15.635739
181,15.65661
182,15.669793
183,15.678363
184,15.67828
185,15.647599
186,15.602547
187,15.546112
188,15.469926
189,15.383317
190,15.292278
191,15.189593
192,15.091138
193,15.00478
194,14.928676
195,14.874992
196,14.8406515
197,14.812733
198,14.820071
199,14.849439
200,14.901296
201,14.962863
202,15.01735
203,15.071189
204,15.129029
205,15.195848
206,15.258282
207,15.318511
208,15.377658
209,15.432952
210,15.483174
211,15.536487
212,15.589369
213,15.641948
214,15.684014
215,15.711696
216,15.701646
217,15.67438
218,15.636328
219,15.587716
220,15.549727
221,15.505912
222,15.450976
