,0
934,28.679993
935,28.690573
936,28.713396
937,28.743378
938,28.768547
939,28.796295
940,28.834028
941,28.866655
942,28.88757
943,28.913364
944,28.934185
945,28.960304
946,28.985226
947,29.004242
948,29.016768
949,29.021708
950,29.023249
951,29.014418
952,28.989067
953,28.954056
954,28.921902
955,28.895557
956,28.864437
957,28.823538
958,28.786896
959,28.743967
960,28.666264
961,28.592672
962,28.523129
963,28.461432
964,28.393341
965,28.317572
966,28.252668
967,28.189236
968,28.151407
969,28.122345
970,28.106228
971,28.10809
972,28.1383
973,28.172638
974,28.201426
975,28.224878
976,28.254915
977,28.308687
978,28.355978
979,28.378786
980,28.282251
981,28.123081
982,27.961777
983,27.780107
984,27.620018
985,27.418604
986,27.131113
987,26.581879
988,25.922249
989,25.15259
990,24.231026
991,23.338629
992,22.407824
993,21.481907
994,20.529068
995,19.62414
996,18.771399
997,17.96258
998,17.261185
999,16.69473
1000,16.238182
1001,15.830786
1002,15.476079
1003,15.189695
1004,14.968669
1005,14.846825
1006,14.7834635
1007,14.776696
1008,14.829645
1009,14.952248
1010,15.098051
1011,15.259099
1012,15.41783
1013,15.557813
1014,15.658038
1015,15.74404
1016,15.8107815
1017,15.890863
1018,15.982853
1019,16.043978
1020,16.101618
1021,16.182415
1022,16.307962
1023,16.452103
1024,16.58035
1025,16.714512
1026,16.82415
1027,16.920532
1028,17.041166
1029,17.160578
1030,17.275284
1031,17.363792
1032,17.426208
1033,17.460815
1034,17.524895
1035,17.608963
1036,17.72477
1037,17.852795
1038,17.966629
1039,18.09642
1040,18.237772
1041,18.390747
1042,18.540277
1043,18.702608
1044,18.866653
1045,19.063398
1046,19.275673
1047,19.489487
1048,19.720285
1049,19.968111
